Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Customer Type,Feedback
23,Male,Single,Student,No Income,Post Graduate,2,Regular,Positive
23,Female,Single,Student,No Income,Graduate,3,Regular,Negative 
22,Female,Single,Student,10001 to 25000,Post Graduate,5,Frequent,Positive
23,Female,Single,Student,No Income,Graduate,5,Frequent,Positive
23,Female,Single,Student,No Income,Post Graduate,2,Regular,Positive
24,Male,Single,Student,No Income,Post Graduate,3,Regular,Positive
25,Male,Single,Student,No Income,Post Graduate,2,Regular,Positive
22,Male,Single,Student,No Income,Post Graduate,3,Regular,Positive
28,Female,Married,Student,No Income,Graduate,2,Regular,Positive
22,Female,Single,Student,No Income,Post Graduate,1,New,Positive
24,Female,Single,Student,No Income,Graduate,3,Regular,Positive
31,Male,Married,Employee,More than 50000,Ph.D,5,Frequent,Positive
25,Male,Single,Student,No Income,Post Graduate,4,Frequent,Positive
23,Male,Single,Student,No Income,Post Graduate,5,Frequent,Positive
22,Male,Single,Student,No Income,Post Graduate,3,Regular,Positive
23,Male,Single,Student,25001 to 50000,Post Graduate,1,New,Positive
23,Male,Single,Student,No Income,Graduate,4,Frequent,Positive
23,Female,Single,Student,No Income,Post Graduate,2,Regular,Positive
25,Male,Single,Student,No Income,Post Graduate,6,Frequent,Positive
24,Male,Single,Employee,10001 to 25000,Graduate,4,Frequent,Positive
23,Female,Single,Student,No Income,Post Graduate,4,Frequent,Positive
23,Female,Single,Student,No Income,Post Graduate,4,Frequent,Positive
24,Female,Married,Employee,More than 50000,Ph.D,4,Frequent,Positive
22,Male,Single,Student,No Income,Graduate,4,Frequent,Positive
24,Female,Single,Student,10001 to 25000,Post Graduate,3,Regular,Positive
25,Female,Single,Student,No Income,Post Graduate,3,Regular,Positive
23,Male,Single,Student,No Income,Post Graduate,2,Regular,Positive
26,Male,Single,Student,No Income,Post Graduate,4,Frequent,Positive
24,Female,Single,Student,25001 to 50000,Post Graduate,3,Regular,Positive
26,Male,Single,Student,No Income,Post Graduate,4,Frequent,Positive
21,Male,Single,Student,No Income,Graduate,4,Frequent,Positive
22,Female,Single,Student,No Income,Post Graduate,3,Regular,Positive
24,Male,Single,Student,No Income,Post Graduate,5,Frequent,Positive
24,Male,Single,Student,10001 to 25000,Post Graduate,4,Frequent,Positive
23,Female,Single,Student,No Income,Post Graduate,3,Regular,Positive
23,Male,Single,Student,No Income,Post Graduate,3,Regular,Positive
22,Male,Single,Student,No Income,Post Graduate,3,Regular,Positive
23,Male,Single,Student,No Income,Post Graduate,3,Regular,Positive
24,Female,Single,Student,No Income,Post Graduate,4,Frequent,Positive
24,Male,Single,Student,No Income,Post Graduate,5,Frequent,Positive
25,Male,Single,Student,No Income,Graduate,1,New,Positive
25,Male,Single,Student,No Income,Post Graduate,5,Frequent,Positive
28,Male,Married,Self Employeed,10001 to 25000,Graduate,2,Regular,Negative 
27,Female,Prefer not to say,Employee,25001 to 50000,Post Graduate,5,Frequent,Positive
26,Male,Single,Self Employeed,10001 to 25000,Ph.D,1,New,Positive
22,Male,Single,Student,No Income,Post Graduate,2,Regular,Positive
24,Female,Single,Student,No Income,Post Graduate,3,Regular,Positive
23,Male,Single,Student,No Income,Post Graduate,1,New,Positive
25,Male,Single,Student,No Income,Graduate,1,New,Positive
23,Female,Single,Student,No Income,Graduate,5,Frequent,Positive
23,Female,Single,Student,No Income,Graduate,5,Frequent,Positive
26,Male,Married,Employee,25001 to 50000,Graduate,5,Frequent,Positive
32,Female,Married,House wife,No Income,Uneducated,3,Regular,Positive
24,Female,Single,Student,10001 to 25000,Post Graduate,3,Regular,Positive
23,Male,Single,Student,No Income,Post Graduate,2,Regular,Positive
22,Female,Single,Employee,10001 to 25000,Graduate,3,Regular,Positive
24,Female,Single,Student,No Income,Ph.D,3,Regular,Positive
26,Male,Single,Employee,25001 to 50000,Graduate,2,Regular,Negative 
28,Male,Married,Employee,More than 50000,Graduate,3,Regular,Positive
26,Male,Single,Employee,More than 50000,Post Graduate,2,Regular,Positive
25,Male,Single,Student,No Income,Post Graduate,1,New,Positive
25,Male,Single,Employee,Below Rs.10000,Graduate,2,Regular,Positive
18,Male,Single,Student,No Income,Graduate,5,Frequent,Positive
21,Male,Single,Student,No Income,Post Graduate,4,Frequent,Positive
25,Male,Single,Student,No Income,Post Graduate,1,New,Positive
25,Male,Single,Student,Below Rs.10000,Post Graduate,2,Regular,Positive
23,Female,Single,Student,No Income,Graduate,5,Frequent,Positive
23,Male,Single,Employee,10001 to 25000,Post Graduate,2,Regular,Positive
25,Female,Married,Employee,25001 to 50000,Graduate,4,Frequent,Negative 
31,Female,Married,House wife,No Income,School,5,Frequent,Positive
24,Male,Prefer not to say,Self Employeed,More than 50000,Ph.D,2,Regular,Positive
32,Female,Married,Employee,25001 to 50000,Graduate,5,Frequent,Positive
25,Male,Single,Employee,25001 to 50000,Graduate,3,Regular,Positive
27,Female,Married,Self Employeed,More than 50000,Graduate,5,Frequent,Positive
26,Male,Single,Self Employeed,25001 to 50000,Graduate,3,Regular,Positive
26,Female,Single,Self Employeed,25001 to 50000,Post Graduate,3,Regular,Positive
32,Male,Married,Employee,More than 50000,Ph.D,5,Frequent,Negative 
24,Male,Married,Self Employeed,More than 50000,Ph.D,6,Frequent,Negative 
27,Female,Married,Self Employeed,25001 to 50000,Graduate,3,Regular,Positive
23,Male,Single,Student,No Income,Post Graduate,3,Regular,Positive
25,Male,Single,Student,No Income,Post Graduate,4,Frequent,Positive
23,Male,Single,Student,No Income,Post Graduate,3,Regular,Positive
23,Female,Single,Student,No Income,Post Graduate,4,Frequent,Positive
28,Male,Married,Employee,More than 50000,Post Graduate,3,Regular,Positive
32,Female,Married,Employee,More than 50000,Graduate,1,New,Positive
23,Male,Single,Student,No Income,Post Graduate,2,Regular,Positive
19,Male,Single,Student,No Income,Graduate,2,Regular,Negative 
19,Female,Single,Student,No Income,Graduate,4,Frequent,Positive
27,Female,Married,Employee,25001 to 50000,Post Graduate,2,Regular,Positive
25,Male,Single,Self Employeed,25001 to 50000,Graduate,3,Regular,Positive
33,Male,Married,Employee,More than 50000,Ph.D,5,Frequent,Negative 
26,Female,Single,Employee,More than 50000,Graduate,3,Regular,Positive
22,Female,Single,Student,Below Rs.10000,Post Graduate,4,Frequent,Positive
23,Male,Single,Student,No Income,Post Graduate,3,Regular,Positive
22,Female,Single,Student,No Income,Graduate,3,Regular,Negative 
25,Male,Married,Employee,25001 to 50000,Graduate,2,Regular,Positive
30,Female,Married,House wife,No Income,School,5,Frequent,Positive
24,Male,Single,Student,No Income,Post Graduate,3,Regular,Negative 
25,Male,Single,Employee,10001 to 25000,Post Graduate,3,Regular,Positive
23,Male,Single,Student,More than 50000,Post Graduate,3,Regular,Positive
24,Female,Single,Student,No Income,Post Graduate,4,Frequent,Positive
32,Male,Married,Employee,10001 to 25000,Graduate,4,Frequent,Positive
22,Male,Single,Student,No Income,Post Graduate,4,Frequent,Positive
23,Male,Single,Student,More than 50000,Post Graduate,3,Regular,Positive
23,Female,Single,Student,No Income,Post Graduate,4,Frequent,Positive
20,Male,Single,Student,No Income,Graduate,2,Regular,Positive
21,Male,Single,Student,No Income,Graduate,2,Regular,Positive
24,Female,Married,Self Employeed,10001 to 25000,Graduate,5,Frequent,Positive
23,Female,Single,Student,No Income,Post Graduate,4,Frequent,Positive
25,Male,Single,Employee,25001 to 50000,Post Graduate,3,Regular,Positive
32,Female,Married,House wife,No Income,Graduate,3,Regular,Positive
27,Male,Married,Employee,More than 50000,Ph.D,5,Frequent,Negative 
20,Female,Single,Student,No Income,Graduate,2,Regular,Positive
21,Male,Single,Student,No Income,Graduate,2,Regular,Positive
26,Male,Single,Employee,More than 50000,Post Graduate,3,Regular,Negative 
25,Male,Single,Employee,10001 to 25000,Graduate,4,Frequent,Positive
26,Male,Single,Employee,25001 to 50000,Post Graduate,3,Regular,Positive
26,Female,Married,Employee,25001 to 50000,Graduate,3,Regular,Positive
27,Male,Single,Employee,More than 50000,Ph.D,4,Frequent,Positive
27,Female,Single,Student,No Income,Ph.D,5,Frequent,Negative 
24,Female,Single,Student,No Income,Post Graduate,5,Frequent,Positive
25,Male,Married,Self Employeed,More than 50000,School,2,Regular,Positive
20,Male,Single,Student,No Income,Graduate,2,Regular,Negative 
22,Male,Single,Student,No Income,Post Graduate,1,New,Positive
26,Female,Married,Student,Below Rs.10000,Ph.D,3,Regular,Positive
27,Male,Prefer not to say,Employee,25001 to 50000,Post Graduate,1,New,Positive
25,Female,Single,Student,No Income,Post Graduate,3,Regular,Positive
24,Male,Single,Employee,Below Rs.10000,Graduate,2,Regular,Positive
23,Female,Single,Employee,10001 to 25000,Graduate,6,Frequent,Positive
22,Male,Single,Student,No Income,Graduate,2,Regular,Positive
26,Male,Married,Self Employeed,More than 50000,Post Graduate,3,Regular,Negative 
26,Male,Single,Employee,Below Rs.10000,Post Graduate,1,New,Negative 
25,Female,Married,Self Employeed,25001 to 50000,Post Graduate,3,Regular,Positive
29,Female,Married,Employee,More than 50000,Graduate,3,Regular,Positive
23,Male,Single,Student,Below Rs.10000,Graduate,3,Regular,Negative 
22,Female,Single,Employee,25001 to 50000,Graduate,4,Frequent,Positive
22,Male,Single,Student,No Income,Graduate,2,Regular,Positive
32,Female,Married,House wife,No Income,School,5,Frequent,Positive
28,Male,Married,Employee,More than 50000,Post Graduate,1,New,Positive
22,Male,Single,Student,No Income,Post Graduate,2,Regular,Positive
25,Male,Single,Employee,10001 to 25000,Graduate,2,Regular,Positive
26,Female,Married,Employee,25001 to 50000,Post Graduate,2,Regular,Negative 
31,Male,Married,Self Employeed,More than 50000,School,6,Frequent,Positive
24,Male,Single,Student,No Income,Post Graduate,3,Regular,Negative 
24,Male,Single,Employee,25001 to 50000,Post Graduate,2,Regular,Positive
31,Female,Married,Employee,More than 50000,Ph.D,5,Frequent,Positive
26,Male,Single,Employee,25001 to 50000,Graduate,2,Regular,Positive
24,Female,Married,Self Employeed,More than 50000,Graduate,2,Regular,Positive
22,Female,Single,Student,No Income,Graduate,3,Regular,Positive
19,Male,Single,Student,No Income,Graduate,6,Frequent,Positive
25,Male,Married,Employee,More than 50000,Post Graduate,6,Frequent,Positive
23,Female,Married,House wife,No Income,School,6,Frequent,Positive
23,Female,Single,Student,No Income,Graduate,2,Regular,Negative 
23,Male,Single,Student,No Income,Post Graduate,2,Regular,Positive
24,Male,Single,Student,No Income,Post Graduate,5,Frequent,Positive
22,Female,Single,Employee,25001 to 50000,Graduate,4,Frequent,Positive
26,Male,Married,Employee,More than 50000,Graduate,4,Frequent,Positive
25,Female,Single,Student,No Income,Ph.D,3,Regular,Positive
20,Male,Single,Student,No Income,Graduate,2,Regular,Positive
29,Male,Married,Employee,25001 to 50000,Graduate,4,Frequent,Negative 
23,Female,Single,Student,No Income,Graduate,1,New,Positive
25,Male,Single,Self Employeed,More than 50000,Graduate,2,Regular,Positive
29,Female,Married,Employee,25001 to 50000,Graduate,4,Frequent,Negative 
27,Male,Married,Self Employeed,25001 to 50000,Graduate,6,Frequent,Negative 
25,Male,Single,Self Employeed,10001 to 25000,Graduate,3,Regular,Positive
21,Male,Single,Student,No Income,Graduate,2,Regular,Negative 
23,Male,Single,Student,No Income,Graduate,3,Regular,Positive
24,Female,Single,Employee,10001 to 25000,Post Graduate,4,Frequent,Positive
32,Male,Married,Self Employeed,10001 to 25000,School,3,Regular,Negative 
28,Male,Married,Employee,25001 to 50000,Post Graduate,5,Frequent,Positive
26,Male,Single,Employee,10001 to 25000,Graduate,2,Regular,Negative 
31,Female,Married,House wife,No Income,Graduate,5,Frequent,Positive
27,Female,Married,Self Employeed,25001 to 50000,Graduate,3,Regular,Positive
21,Female,Single,Student,No Income,Post Graduate,1,New,Positive
23,Female,Single,Student,No Income,Graduate,2,Regular,Positive
26,Male,Married,Employee,10001 to 25000,Graduate,4,Frequent,Positive
32,Male,Married,Employee,More than 50000,Graduate,5,Frequent,Positive
25,Female,Married,Student,No Income,Post Graduate,2,Regular,Positive
28,Male,Single,Self Employeed,10001 to 25000,Post Graduate,2,Regular,Positive
21,Female,Single,Student,No Income,Post Graduate,3,Regular,Positive
24,Male,Single,Student,No Income,Post Graduate,2,Regular,Positive
26,Female,Married,Self Employeed,10001 to 25000,Graduate,5,Frequent,Negative 
32,Male,Married,Employee,25001 to 50000,Graduate,3,Regular,Positive
29,Male,Single,Self Employeed,More than 50000,Graduate,6,Frequent,Positive
21,Male,Single,Student,No Income,Graduate,5,Frequent,Positive
24,Female,Single,Self Employeed,25001 to 50000,Post Graduate,3,Regular,Negative 
26,Male,Prefer not to say,Self Employeed,More than 50000,Post Graduate,2,Regular,Positive
25,Male,Married,Employee,More than 50000,Ph.D,3,Regular,Positive
29,Male,Single,Employee,25001 to 50000,Graduate,3,Regular,Negative 
22,Male,Single,Student,No Income,Graduate,3,Regular,Positive
24,Male,Single,Student,No Income,Graduate,2,Regular,Positive
27,Male,Married,Employee,25001 to 50000,Graduate,2,Regular,Positive
23,Female,Single,Student,No Income,Post Graduate,3,Regular,Positive
32,Male,Married,Employee,More than 50000,Post Graduate,6,Frequent,Positive
22,Female,Single,Student,No Income,Graduate,2,Regular,Positive
28,Male,Married,Employee,25001 to 50000,Graduate,3,Regular,Positive
23,Female,Single,Student,No Income,Post Graduate,2,Regular,Positive
30,Male,Married,Self Employeed,More than 50000,Graduate,1,New,Negative 
21,Male,Single,Student,No Income,Graduate,3,Regular,Positive
26,Female,Married,Employee,Below Rs.10000,Graduate,6,Frequent,Negative 
25,Male,Single,Self Employeed,More than 50000,School,3,Regular,Positive
31,Male,Prefer not to say,Employee,Below Rs.10000,Graduate,1,New,Negative 
23,Female,Single,Employee,25001 to 50000,Post Graduate,2,Regular,Positive
29,Female,Married,Employee,25001 to 50000,Ph.D,3,Regular,Positive
21,Male,Single,Student,No Income,Graduate,6,Frequent,Positive
20,Male,Single,Student,No Income,Graduate,3,Regular,Positive
22,Male,Single,Employee,10001 to 25000,Graduate,2,Regular,Positive
30,Female,Married,House wife,No Income,School,6,Frequent,Positive
27,Male,Married,Self Employeed,More than 50000,Graduate,3,Regular,Positive
23,Male,Single,Student,No Income,Post Graduate,2,Regular,Negative 
30,Male,Married,Self Employeed,25001 to 50000,School,6,Frequent,Negative 
23,Male,Single,Student,No Income,Post Graduate,3,Regular,Positive
28,Female,Married,Employee,25001 to 50000,Post Graduate,6,Frequent,Negative 
30,Male,Married,Self Employeed,More than 50000,Graduate,6,Frequent,Positive
24,Female,Married,Employee,25001 to 50000,Post Graduate,2,Regular,Negative 
21,Male,Single,Student,No Income,Graduate,2,Regular,Negative 
23,Female,Prefer not to say,Employee,10001 to 25000,Graduate,3,Regular,Negative 
25,Male,Married,Self Employeed,More than 50000,Post Graduate,4,Frequent,Positive
24,Female,Single,Employee,25001 to 50000,Graduate,2,Regular,Positive
26,Male,Married,Employee,10001 to 25000,Graduate,3,Regular,Negative 
25,Female,Single,Employee,25001 to 50000,Post Graduate,2,Regular,Positive
22,Male,Single,Student,25001 to 50000,Graduate,3,Regular,Positive
26,Female,Single,Employee,25001 to 50000,Post Graduate,2,Regular,Positive
23,Male,Single,Employee,10001 to 25000,Graduate,2,Regular,Positive
21,Female,Single,Employee,Below Rs.10000,Graduate,2,Regular,Negative 
25,Male,Married,Self Employeed,25001 to 50000,Graduate,3,Regular,Positive
24,Female,Married,Employee,10001 to 25000,Post Graduate,2,Regular,Positive
22,Male,Married,Student,No Income,Graduate,2,Regular,Positive
23,Female,Single,Student,No Income,Post Graduate,4,Frequent,Positive
24,Male,Married,Employee,More than 50000,Post Graduate,3,Regular,Positive
22,Female,Single,Student,No Income,Graduate,2,Regular,Positive
30,Male,Married,Employee,More than 50000,Graduate,5,Frequent,Negative 
23,Female,Prefer not to say,Employee,10001 to 25000,Graduate,4,Frequent,Positive
19,Male,Single,Student,No Income,Graduate,6,Frequent,Positive
21,Female,Single,Student,No Income,Graduate,2,Regular,Positive
23,Male,Single,Student,No Income,Graduate,4,Frequent,Positive
24,Female,Single,Employee,25001 to 50000,Graduate,3,Regular,Positive
26,Female,Married,Employee,10001 to 25000,Post Graduate,2,Regular,Positive
26,Female,Single,Student,No Income,Ph.D,2,Regular,Positive
25,Female,Single,Student,10001 to 25000,Graduate,2,Regular,Positive
28,Female,Married,Employee,25001 to 50000,Graduate,5,Frequent,Negative 
25,Female,Single,Student,No Income,Post Graduate,3,Regular,Positive
20,Female,Single,Student,No Income,Graduate,2,Regular,Positive
27,Female,Married,Self Employeed,More than 50000,Graduate,6,Frequent,Positive
25,Female,Married,Employee,25001 to 50000,Graduate,3,Regular,Positive
24,Female,Single,Student,No Income,Post Graduate,5,Frequent,Negative 
25,Female,Married,Employee,More than 50000,Graduate,1,New,Negative 
25,Female,Prefer not to say,Employee,25001 to 50000,Post Graduate,3,Regular,Negative 
24,Female,Married,Student,Below Rs.10000,Ph.D,5,Frequent,Positive
24,Male,Single,Student,No Income,Post Graduate,3,Regular,Positive
22,Male,Single,Employee,10001 to 25000,Graduate,1,New,Positive
28,Male,Single,Employee,25001 to 50000,Post Graduate,2,Regular,Negative 
25,Female,Single,Employee,More than 50000,Post Graduate,6,Frequent,Negative 
22,Male,Single,Student,Below Rs.10000,Post Graduate,3,Regular,Negative 
22,Female,Single,Student,No Income,Graduate,6,Frequent,Positive
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,Frequent,Positive
27,Female,Married,Employee,More than 50000,Post Graduate,2,Regular,Positive
22,Male,Single,Student,No Income,Graduate,3,Regular,Positive
24,Female,Single,Student,No Income,Post Graduate,3,Regular,Positive
23,Female,Single,Student,No Income,Post Graduate,2,Regular,Positive
23,Female,Single,Student,No Income,Post Graduate,4,Frequent,Positive
22,Female,Single,Student,No Income,Post Graduate,5,Frequent,Positive
23,Male,Single,Student,Below Rs.10000,Post Graduate,2,Regular,Negative 
32,Male,Married,Employee,More than 50000,Graduate,5,Frequent,Positive
25,Female,Married,Student,No Income,Post Graduate,2,Regular,Positive
28,Male,Single,Self Employeed,10001 to 25000,Post Graduate,2,Regular,Positive
21,Female,Single,Student,No Income,Post Graduate,3,Regular,Positive
24,Male,Single,Student,No Income,Post Graduate,2,Regular,Positive
26,Female,Married,Self Employeed,10001 to 25000,Graduate,5,Frequent,Negative 
32,Male,Married,Employee,25001 to 50000,Graduate,3,Regular,Positive
29,Male,Single,Self Employeed,More than 50000,Graduate,6,Frequent,Positive
21,Male,Single,Student,No Income,Graduate,5,Frequent,Positive
24,Female,Single,Self Employeed,25001 to 50000,Post Graduate,3,Regular,Negative 
26,Male,Prefer not to say,Self Employeed,More than 50000,Post Graduate,2,Regular,Positive
21,Male,Married,Employee,More than 50000,Ph.D,3,Regular,Positive
29,Male,Single,Employee,25001 to 50000,Graduate,3,Regular,Negative 
22,Male,Single,Student,No Income,Graduate,3,Regular,Positive
24,Male,Single,Student,No Income,Graduate,2,Regular,Positive
27,Male,Married,Employee,25001 to 50000,Graduate,2,Regular,Positive
23,Female,Single,Student,No Income,Post Graduate,3,Regular,Positive
32,Male,Married,Employee,More than 50000,Post Graduate,6,Frequent,Positive
22,Female,Single,Student,No Income,Graduate,2,Regular,Positive
22,Female,Single,Employee,25001 to 50000,Graduate,4,Frequent,Positive
26,Male,Married,Employee,More than 50000,Graduate,4,Frequent,Positive
25,Female,Single,Student,No Income,Ph.D,3,Regular,Positive
20,Male,Single,Student,No Income,Graduate,2,Regular,Positive
29,Male,Married,Employee,25001 to 50000,Graduate,4,Frequent,Negative 
23,Female,Single,Student,No Income,Graduate,1,New,Positive
25,Male,Single,Self Employeed,More than 50000,Graduate,2,Regular,Positive
29,Female,Married,Employee,25001 to 50000,Graduate,4,Frequent,Negative 
27,Male,Married,Self Employeed,25001 to 50000,Graduate,6,Frequent,Positive
25,Male,Single,Self Employeed,10001 to 25000,Graduate,3,Regular,Positive
21,Male,Single,Student,No Income,Graduate,2,Regular,Negative 
23,Male,Single,Student,No Income,Graduate,3,Regular,Positive
24,Female,Single,Employee,10001 to 25000,Post Graduate,4,Frequent,Positive
22,Male,Married,Self Employeed,10001 to 25000,School,3,Regular,Negative 
28,Male,Married,Employee,25001 to 50000,Post Graduate,5,Frequent,Positive
26,Male,Single,Employee,10001 to 25000,Graduate,2,Regular,Negative 
22,Female,Single,Employee,25001 to 50000,Graduate,4,Frequent,Positive
26,Male,Married,Employee,More than 50000,Graduate,4,Frequent,Positive
25,Female,Single,Student,No Income,Ph.D,3,Regular,Positive
20,Male,Single,Student,No Income,Graduate,2,Regular,Positive
29,Male,Married,Employee,25001 to 50000,Graduate,4,Frequent,Negative 
23,Female,Single,Student,No Income,Graduate,1,New,Positive
25,Male,Single,Self Employeed,More than 50000,Graduate,2,Regular,Positive
29,Female,Married,Employee,25001 to 50000,Graduate,4,Frequent,Positive
27,Male,Married,Self Employeed,25001 to 50000,Graduate,6,Frequent,Positive
25,Male,Single,Self Employeed,10001 to 25000,Graduate,3,Regular,Positive
21,Male,Single,Student,No Income,Graduate,2,Regular,Positive
24,Male,Single,Student,No Income,Post Graduate,2,Regular,Positive
26,Female,Married,Self Employeed,10001 to 25000,Graduate,5,Frequent,Negative 
32,Male,Married,Employee,25001 to 50000,Graduate,3,Regular,Positive
29,Male,Single,Self Employeed,More than 50000,Graduate,6,Frequent,Positive
21,Male,Single,Student,No Income,Graduate,5,Frequent,Positive
24,Female,Single,Self Employeed,25001 to 50000,Post Graduate,3,Regular,Negative 
26,Male,Prefer not to say,Self Employeed,More than 50000,Post Graduate,2,Regular,Positive
31,Male,Married,Employee,More than 50000,Ph.D,3,Regular,Positive
29,Male,Single,Employee,25001 to 50000,Graduate,3,Regular,Negative 
22,Male,Single,Student,No Income,Graduate,3,Regular,Positive
24,Male,Single,Student,No Income,Graduate,2,Regular,Positive
27,Male,Married,Employee,25001 to 50000,Graduate,2,Regular,Positive
23,Female,Single,Student,No Income,Post Graduate,3,Regular,Positive
30,Male,Married,Employee,More than 50000,Post Graduate,6,Frequent,Positive
22,Female,Single,Student,No Income,Graduate,2,Regular,Positive
28,Male,Married,Employee,25001 to 50000,Graduate,3,Regular,Positive
23,Female,Single,Student,No Income,Post Graduate,2,Regular,Positive
30,Male,Married,Self Employeed,More than 50000,Graduate,1,New,Negative 
21,Male,Single,Student,No Income,Graduate,3,Regular,Negative 
26,Female,Married,Employee,Below Rs.10000,Graduate,6,Frequent,Negative 
25,Male,Single,Self Employeed,More than 50000,School,3,Regular,Positive
31,Male,Prefer not to say,Employee,Below Rs.10000,Graduate,1,New,Negative 
23,Female,Single,Employee,25001 to 50000,Post Graduate,2,Regular,Positive
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,Frequent,Positive
27,Female,Married,Employee,More than 50000,Post Graduate,2,Regular,Positive
22,Male,Single,Student,No Income,Graduate,3,Regular,Positive
24,Female,Single,Student,No Income,Post Graduate,3,Regular,Positive
23,Female,Single,Student,No Income,Post Graduate,2,Regular,Positive
23,Female,Single,Student,No Income,Post Graduate,4,Frequent,Positive
22,Female,Single,Student,No Income,Post Graduate,5,Frequent,Positive
23,Male,Single,Student,Below Rs.10000,Post Graduate,2,Regular,Positive
23,Male,Single,Student,No Income,Post Graduate,5,Frequent,Positive
